State_Code,District_Code,Village_ID,FRA_Households,Tribal_Population,Poverty_Index,Literacy_Rate
16,567,1000,160,636,0.24,38.3
23,896,1001,189,456,0.88,67.9
23,705,1002,181,728,0.03,46.5
36,430,1003,166,365,0.08,83.4
36,926,1004,257,1699,0.15,32.5
36,471,1005,250,568,0.73,57.8
21,556,1006,243,1101,0.27,32.9
16,206,1007,246,1162,0.59,83.7
36,733,1008,205,1958,0.03,87.6
23,899,1009,224,1756,0.39,82.7
16,128,1010,112,1446,0.56,86.3
16,754,1011,152,461,0.14,82.4
21,974,1012,160,432,0.02,23.2
23,856,1013,140,1722,0.14,77.5
23,905,1014,263,976,0.61,82.5
21,975,1015,180,970,0.87,37.4
16,925,1016,56,296,0.09,49.5
16,909,1017,258,1664,0.11,63.0
16,906,1018,254,1330,0.43,32.1
16,162,1019,170,1890,0.09,22.5
36,310,1020,198,1286,0.54,51.8
36,759,1021,174,1881,0.45,27.3
23,247,1022,247,1670,0.56,40.7
36,552,1023,95,1798,0.81,36.8
36,460,1024,183,1714,0.43,61.8
23,501,1025,160,1798,0.14,83.4
16,329,1026,241,298,0.41,77.6
23,352,1027,131,1628,0.0,28.7
21,843,1028,295,1668,0.7,86.2
16,999,1029,63,1441,0.04,59.1
21,122,1030,240,894,0.55,65.6
36,788,1031,85,466,0.6,31.4
21,356,1032,293,1453,0.74,69.9
36,271,1033,184,1552,0.86,38.3
16,259,1034,195,743,0.16,31.9
36,174,1035,237,1170,0.17,20.7
21,110,1036,239,1694,0.39,84.2
16,896,1037,61,552,0.0,35.2
21,427,1038,226,1729,0.05,62.7
36,203,1039,201,1573,0.04,28.0
23,479,1040,223,852,0.1,50.0
16,192,1041,155,641,0.57,28.7
16,984,1042,241,303,0.05,67.8
36,263,1043,195,294,0.11,66.2
21,634,1044,156,1194,0.49,83.0
36,550,1045,293,1291,0.38,36.3
21,986,1046,190,1909,0.7,87.3
23,413,1047,290,1153,0.83,34.9
